time_s,ch0_uv,ch0_lead_off
158.966667,-11487.50,0
158.972222,-1712.50,1
158.977778,-9275.00,0
158.983333,7487.50,0
158.988889,5112.50,0
158.994444,-4912.50,0
159.000000,-1662.50,0
159.005556,11687.50,0
159.011111,5112.50,0
159.016667,13487.50,0
159.022222,-4087.50,0
159.027778,-1712.50,1
159.033333,8312.50,0
159.038889,5262.50,0
159.044444,-8687.50,0
159.050000,-1712.50,1
159.055556,21512.50,0
159.061111,7487.50,0
159.066667,5112.50,0
159.072222,-4912.50,0
159.077778,-1887.50,0
159.083333,12087.50,0
159.088889,5112.50,0
159.094444,-11512.50,0
159.100000,-1625.00,0
159.105556,-6712.50,0
159.111111,8312.50,0
159.116667,5275.00,0
159.122222,-3887.50,0
159.127778,-1712.50,1
159.133333,11712.50,0
159.138889,5137.50,0
159.144444,13512.50,0
159.150000,-4912.50,0
159.155556,-2062.50,0
159.161111,7487.50,0
159.166667,5112.50,0
159.172222,-8312.50,0
159.177778,-1737.50,0
159.183333,-16712.50,0
159.188889,8312.50,0
159.194444,5662.50,0
159.200000,-4087.50,0
159.205556,-1712.50,1
159.211111,11712.50,0
159.216667,5187.50,0
159.222222,-11887.50,0
159.227778,-1712.50,1
159.233333,-6675.00,0
159.238889,7487.50,0
159.244444,5112.50,0
159.250000,-4912.50,0
159.255556,-1662.50,0
159.261111,11887.50,0
159.266667,5112.50,0
159.272222,15887.50,0
159.277778,-4287.50,0
159.283333,-1712.50,1
159.288889,8512.50,0
159.294444,5062.50,0
159.300000,-8687.50,0
159.305556,-1712.50,1
159.311111,21712.50,0
159.316667,7287.50,0
159.322222,5112.50,0
159.327778,-4912.50,0
159.333333,-1887.50,0
159.338889,12487.50,0
159.344444,5112.50,0
159.350000,-11512.50,0
159.355556,-1775.00,0
159.361111,-9112.50,0
159.366667,8312.50,0
159.372222,5275.00,0
159.377778,-3887.50,0
159.383333,-1712.50,1
159.388889,11712.50,0
159.394444,5137.50,0
159.400000,19112.50,0
159.405556,-4912.50,0
159.411111,-1862.50,0
159.416667,7287.50,0
159.422222,5112.50,0
159.427778,-8312.50,0
159.433333,-1750.00,0
159.438889,21687.50,0
159.444444,5112.50,0
159.450000,8875.00,0
159.455556,-4087.50,0
159.461111,-1712.50,1
159.466667,11512.50,0
159.472222,5162.50,0
159.477778,-11487.50,0
159.483333,-1712.50,1
159.488889,-9087.50,0
159.494444,7487.50,0
159.500000,5112.50,0
159.505556,-4912.50,0
159.511111,-1637.50,0
159.516667,11687.50,0
159.522222,5112.50,0
159.527778,13687.50,0
159.533333,-4287.50,0
159.538889,-1712.50,1
159.544444,8512.50,0
159.550000,5075.00,0
159.555556,-8487.50,0
159.561111,-1712.50,1
159.566667,21512.50,0
159.572222,5887.50,0
159.577778,8312.50,0
159.583333,-4912.50,0
159.588889,-1887.50,0
159.594444,10487.50,0
159.600000,5112.50,0
159.605556,-11512.50,0
159.611111,-1800.00,0
159.616667,-9312.50,0
159.622222,8312.50,0
159.627778,5262.50,0
159.633333,-3887.50,0
159.638889,-1712.50,1
159.644444,11712.50,0
159.650000,5137.50,0
159.655556,16712.50,0
159.661111,-4912.50,0
159.666667,-2062.50,0
159.672222,7487.50,0
159.677778,5112.50,0
159.683333,-8312.50,0
159.688889,-1737.50,0
159.694444,18687.50,0
159.700000,5112.50,0
159.705556,8875.00,0
159.711111,-4087.50,0
159.716667,-1712.50,1
159.722222,11712.50,0
159.727778,5000.00,0
159.733333,-12087.50,0
159.738889,-1712.50,1
159.744444,-9087.50,0
159.750000,7487.50,0
159.755556,5112.50,0
159.761111,-4912.50,0
159.766667,-1650.00,0
159.772222,11887.50,0
159.777778,5112.50,0
159.783333,18887.50,0
159.788889,-4287.50,0
159.794444,-1712.50,1
159.800000,8512.50,0
159.805556,5075.00,0
159.811111,-8487.50,0
159.816667,-1712.50,1
159.822222,18312.50,0
159.827778,5287.50,0
159.833333,8512.50,0
159.838889,-4912.50,0
159.844444,-1887.50,0
159.850000,10287.50,0
159.855556,5112.50,0
159.861111,-11512.50,0
159.866667,-1762.50,0
159.872222,-8912.50,0
159.877778,8312.50,0
159.883333,5262.50,0
159.888889,-3887.50,0
159.894444,-1712.50,1
159.900000,11712.50,0
159.905556,5137.50,0
159.911111,16712.50,0
159.916667,-4912.50,0
159.922222,-2062.50,0
159.927778,7487.50,0
159.933333,5112.50,0
159.938889,-8312.50,0
159.944444,-1750.00,0
159.950000,18487.50,0
159.955556,5112.50,0
159.961111,9075.00,0
159.966667,-4087.50,0
159.972222,-1712.50,1
159.977778,11712.50,0
159.983333,5037.50,0
159.988889,-12087.50,0
159.994444,-1712.50,1
160.000000,-6887.50,0
160.005556,7687.50,0
160.011111,5112.50,0
160.016667,-5112.50,0
160.022222,-1650.00,0
160.027778,12087.50,0
160.033333,5112.50,0
160.038889,16887.50,0
160.044444,-4287.50,0
160.050000,-1712.50,1
160.055556,8512.50,0
160.061111,5075.00,0
160.066667,-8487.50,0
160.072222,-1712.50,1
160.077778,18312.50,0
160.083333,5287.50,0
160.088889,8512.50,0
160.094444,-4912.50,0
160.100000,-1887.50,0
160.105556,10487.50,0
160.111111,5112.50,0
160.116667,-11512.50,0
160.122222,-1750.00,0
160.127778,-9312.50,0
160.133333,8312.50,0
160.138889,5262.50,0
160.144444,-3887.50,0
160.150000,-1712.50,1
160.155556,11712.50,0
160.161111,5112.50,0
160.166667,-18275.00,0
160.172222,-1712.50,1
160.177778,-5262.50,0
160.183333,-11337.50,0
160.188889,5112.50,0
160.194444,-4912.50,0
160.200000,-1725.00,0
160.205556,21737.50,0
160.211111,5112.50,0
160.216667,8862.50,0
160.222222,17925.00,0
160.227778,-1712.50,1
160.233333,8312.50,0
160.238889,5337.50,0
160.244444,-13550.00,0
160.250000,-1712.50,1
160.255556,-7075.00,0
160.261111,-11325.00,0
160.266667,5112.50,0
160.272222,-4912.50,0
160.277778,-2137.50,0
160.283333,20425.00,0
160.288889,5112.50,0
160.294444,17075.00,0
160.300000,11525.00,0
160.305556,-1712.50,1
160.311111,-23537.50,0
160.316667,17600.00,0
160.322222,-23362.50,0
160.327778,-25600.00,0
160.333333,-25600.00,0
160.338889,-8800.00,0
160.344444,-24637.50,0
160.350000,-16575.00,0
160.355556,-24987.50,0
160.361111,-14362.50,0
160.366667,-22000.00,0
160.372222,-14362.50,0
160.377778,-25000.00,0
160.383333,-15775.00,0
160.388889,-22400.00,0
160.394444,-14362.50,0
160.400000,-24987.50,0
160.405556,-8775.00,0
160.411111,-24637.50,0
160.416667,-16575.00,0
160.422222,-24987.50,0
160.427778,-15162.50,0
160.433333,-22000.00,0
160.438889,-14362.50,0
160.444444,-24987.50,0
160.450000,-15775.00,0
160.455556,-25600.00,0
160.461111,-15775.00,0
160.466667,5112.50,0
160.472222,5775.00,0
160.477778,-4250.00,0
160.483333,-1712.50,1
160.488889,18125.00,0
160.494444,7137.50,0
160.500000,5125.00,0
160.505556,-1712.50,1
160.511111,-1975.00,0
160.516667,-11337.50,0
160.522222,5112.50,0
160.527778,-8325.00,0
160.533333,-1712.50,1
160.538889,-9037.50,0
160.544444,5112.50,0
160.550000,5237.50,0
160.555556,-14062.50,0
160.561111,-1712.50,1
160.566667,11712.50,0
160.572222,5112.50,0
160.577778,12875.00,0
160.583333,-1712.50,1
160.588889,-5450.00,0
160.594444,-11337.50,0
160.600000,5112.50,0
160.605556,-4912.50,0
160.611111,-1725.00,0
160.616667,18550.00,0
160.622222,5112.50,0
160.627778,8862.50,0
160.633333,17937.50,0
160.638889,-1712.50,1
160.644444,8312.50,0
160.650000,5325.00,0
160.655556,-13562.50,0
160.661111,-1712.50,1
160.666667,-10062.50,0
160.672222,-8125.00,0
160.677778,5112.50,0
160.683333,-4912.50,0
160.688889,-2162.50,0
160.694444,17037.50,0
160.700000,5112.50,0
160.705556,20275.00,0
160.711111,11525.00,0
160.716667,-1712.50,1
160.722222,5112.50,0
160.727778,3625.00,0
160.733333,-4250.00,0
160.738889,-1712.50,1
160.744444,18125.00,0
160.750000,6137.50,0
160.755556,8325.00,0
160.761111,-1712.50,1
160.766667,-1812.50,0
160.772222,-11337.50,0
160.777778,5112.50,0
160.783333,-8325.00,0
160.788889,-1712.50,1
160.794444,-8637.50,0
160.800000,5112.50,0
160.805556,5225.00,0
160.811111,-14062.50,0
160.816667,-1712.50,1
160.822222,11712.50,0
160.827778,5112.50,0
160.833333,15675.00,0
160.838889,-1712.50,1
160.844444,-5250.00,0
160.850000,-11325.00,0
160.855556,5112.50,0
160.861111,-4912.50,0
160.866667,-1725.00,0
160.872222,18337.50,0
160.877778,5112.50,0
160.883333,9062.50,0
160.888889,17925.00,0
160.894444,-1712.50,1
160.900000,8312.50,0
160.905556,5337.50,0
160.911111,-13562.50,0
160.916667,-1712.50,1
160.922222,-7062.50,0
160.927778,-11337.50,0
160.933333,5112.50,0
160.938889,-4912.50,0
160.944444,-2150.00,0
160.950000,17050.00,0
160.955556,5112.50,0
160.961111,20275.00,0
160.966667,11525.00,0
160.972222,-1712.50,1
160.977778,5112.50,0
160.983333,7225.00,0
160.988889,-10650.00,0
160.994444,-1712.50,1
161.000000,14925.00,0
161.005556,5325.00,0
161.011111,11737.50,0
161.016667,-1712.50,1
161.022222,-1825.00,0
161.027778,17462.50,0
161.033333,5112.50,0
161.038889,-8312.50,0
161.044444,-1712.50,1
161.050000,-8862.50,0
161.055556,5112.50,0
161.061111,5362.50,0
161.066667,-14062.50,0
161.072222,-1712.50,1
161.077778,11712.50,0
161.083333,5112.50,0
161.088889,15675.00,0
161.094444,-1712.50,1
161.100000,-5250.00,0
161.105556,-11337.50,0
161.111111,5112.50,0
161.116667,-4912.50,0
161.122222,-1925.00,0
161.127778,16550.00,0
161.133333,5112.50,0
161.138889,9862.50,0
161.144444,11525.00,0
161.150000,-1712.50,1
161.155556,8325.00,0
161.161111,5325.00,0
161.166667,-13425.00,0
161.172222,-1712.50,1
161.177778,-10275.00,0
161.183333,-8125.00,0
161.188889,5112.50,0
161.194444,-4912.50,0
161.200000,-2150.00,0
161.205556,17037.50,0
161.211111,5112.50,0
161.216667,-24325.00,0
161.222222,11525.00,0
161.227778,-1712.50,1
161.233333,5112.50,0
161.238889,9437.50,0
161.244444,-10637.50,0
161.250000,-1712.50,1
161.255556,11725.00,0
161.261111,5325.00,0
161.266667,11737.50,0
161.272222,-1712.50,1
161.277778,-1837.50,0
161.283333,20662.50,0
161.288889,5112.50,0
161.294444,-8325.00,0
161.300000,-1712.50,1
161.305556,-9037.50,0
161.311111,5112.50,0
161.316667,5437.50,0
161.322222,-14062.50,0
161.327778,-1712.50,1
161.333333,8312.50,0
161.338889,5112.50,0
161.344444,-18325.00,0
161.350000,-1712.50,1
161.355556,-5450.00,0
161.361111,-11325.00,0
161.366667,5112.50,0
161.372222,-4925.00,0
161.377778,-1712.50,1
161.383333,18537.50,0
161.388889,5112.50,0
161.394444,12462.50,0
161.400000,14725.00,0
161.405556,-1712.50,1
161.411111,8312.50,0
161.416667,5337.50,0
161.422222,-16975.00,0
161.427778,-1712.50,1
161.433333,-10062.50,0
161.438889,-8137.50,0
161.444444,5112.50,0
161.450000,-4912.50,0
161.455556,-2350.00,0
161.461111,14037.50,0
161.466667,5112.50,0
161.472222,-18125.00,0
161.477778,11525.00,0
161.483333,-1712.50,1
161.488889,5112.50,0
161.494444,7250.00,0
161.500000,-10650.00,0
161.505556,-1712.50,1
161.511111,14925.00,0
161.516667,5325.00,0
161.522222,8537.50,0
161.527778,-1712.50,1
161.533333,-1837.50,0
161.538889,-14537.50,0
161.544444,5112.50,0
161.550000,-8312.50,0
161.555556,-1712.50,1
161.561111,-9075.00,0
161.566667,5112.50,0
161.572222,5237.50,0
161.577778,-14062.50,0
161.583333,-1712.50,1
161.588889,8512.50,0
161.594444,5112.50,0
161.600000,-15925.00,0
161.605556,-1712.50,1
161.611111,-5450.00,0
161.616667,-11325.00,0
161.622222,5112.50,0
161.627778,-4912.50,0
161.633333,-1725.00,0
161.638889,18337.50,0
161.644444,5112.50,0
161.650000,9662.50,0
161.655556,14725.00,0
161.661111,-1712.50,1
161.666667,8312.50,0
161.672222,5337.50,0
161.677778,-19962.50,0
161.683333,-1712.50,1
161.688889,-10275.00,0
161.694444,-8125.00,0
161.700000,5112.50,0
161.705556,-4912.50,0
161.711111,-2350.00,0
161.716667,14037.50,0
161.722222,5112.50,0
161.727778,-18125.00,0
161.733333,11525.00,0
161.738889,-1712.50,1
161.744444,5112.50,0
161.750000,7050.00,0
161.755556,-10650.00,0
161.761111,-1712.50,1
161.766667,11725.00,0
161.772222,5112.50,0
161.777778,12037.50,0
161.783333,-1712.50,1
161.788889,-1825.00,0
161.794444,-20937.50,0
161.800000,5112.50,0
161.805556,-8312.50,0
161.811111,-1712.50,1
161.816667,-8662.50,0
161.822222,5112.50,0
161.827778,5375.00,0
161.833333,-14062.50,0
161.838889,-1712.50,1
161.844444,8512.50,0
161.850000,5112.50,0
161.855556,-13125.00,0
161.861111,-1712.50,1
161.866667,-5462.50,0
161.872222,-11325.00,0
161.877778,5112.50,0
161.883333,-4912.50,0
161.888889,-1925.00,0
161.894444,16937.50,0
161.900000,5112.50,0
161.905556,12662.50,0
161.911111,11537.50,0
161.916667,-1712.50,1
161.922222,8312.50,0
161.927778,5537.50,0
161.933333,-13625.00,0
161.938889,-1712.50,1
161.944444,-10475.00,0
161.950000,-8125.00,0
161.955556,5112.50,0
161.961111,-4912.50,0
161.966667,-2362.50,0
161.972222,14037.50,0
161.977778,5112.50,0
161.983333,-18125.00,0
161.988889,11525.00,0
161.994444,-1712.50,1
162.000000,5112.50,0
162.005556,7250.00,0
162.011111,-10650.00,0
162.016667,-1712.50,1
162.022222,14925.00,0
162.027778,5112.50,0
162.033333,8837.50,0
162.038889,-1712.50,1
162.044444,-1812.50,0
162.050000,-14537.50,0
162.055556,5112.50,0
162.061111,-8312.50,0
162.066667,-1712.50,1
162.072222,-9075.00,0
162.077778,5112.50,0
162.083333,5450.00,0
162.088889,-10862.50,0
162.094444,-1712.50,1
162.100000,8312.50,0
162.105556,5112.50,0
162.111111,-18125.00,0
162.116667,-1712.50,1
162.122222,-5662.50,0
162.127778,-11325.00,0
162.133333,5112.50,0
162.138889,-4912.50,0
